cnty_fips,display_name,theme_range,pl_highchol,dm_prev_adj,ob_prev_adj,ltpia_prev_adj,pl_csmoking,Value
56003,"""Big Horn, (WY)""",315.5 - 330.7 (5),36.3,12.2,32.2,25.7,19.5,317.3
56007,"""Carbon, (WY)""",303.8 - 315.4 (4),34.7,7.8,33.6,28.6,21.3,315.4
56013,"""Fremont, (WY)""",330.8 - 376.1 (4),34.2,8.8,29.4,24.3,20.2,335.6
56017,"""Hot Springs, (WY)""",315.5 - 330.7 (5),39,8.8,29.6,24.3,17,330.7
56023,"""Lincoln, (WY)""",271.0 - 303.7 (5),35.3,7.6,25.4,21.1,17.6,303.7
56025,"""Natrona, (WY)""",315.5 - 330.7 (5),31.2,8.3,31.1,23,21.5,318.4
56029,"""Park, (WY)""",303.8 - 315.4 (4),36.3,6.8,26.7,22.2,16,307.5
56035,"""Sublette, (WY)""",155.9 - 270.9 (5),34.4,8.9,28.8,19.1,17.3,256.5
56037,"""Sweetwater, (WY)""",330.8 - 376.1 (4),30.4,8,30.1,24.1,18.7,348.8
56039,"""Teton, (WY)""",155.9 - 270.9 (5),28.7,2.2,11,10.7,13.2,155.9
56041,"""Uinta, (WY)""",330.8 - 376.1 (4),33.8,9.5,34.9,24.5,20.6,376.1
56043,"""Washakie, (WY)""",315.5 - 330.7 (5),36.8,8.2,29.5,27.2,18.1,328.3
56001,"""Albany, (WY)""",155.9 - 270.9 (5),27.6,7.7,26,15.6,15.3,252.5
56005,"""Campbell, (WY)""",330.8 - 376.1 (4),32.7,7.9,31.1,25,22.2,332.8
56009,"""Converse, (WY)""",271.0 - 303.7 (5),34.4,9.2,32.2,23.2,19,294.4
56011,"""Crook, (WY)""",303.8 - 315.4 (4),37.5,6.8,29.3,23.7,17.5,312.4
56015,"""Goshen, (WY)""",271.0 - 303.7 (5),36.4,7.8,32.4,30.6,17.7,274.6
56019,"""Johnson, (WY)""",315.5 - 330.7 (5),37.2,4.5,26.1,21.6,17.1,320.2
56021,"""Laramie, (WY)""",155.9 - 270.9 (5),32.1,8.9,30,21.9,18.8,264.5
56027,"""Niobrara, (WY)""",271.0 - 303.7 (5),36.8,6.4,27.8,27.7,21.3,274.8
56031,"""Platte, (WY)""",155.9 - 270.9 (5),37.7,10.6,28.4,19.8,17.7,270.9
56045,"""Weston, (WY)""",303.8 - 315.4 (4),36.3,9.2,36.8,24,19.4,307.4
56033,"""Sheridan, (WY)""",271.0 - 303.7 (5),35.1,6.8,28.9,20.9,16.9,288.3
