DIAB,PHY_IA,SMOKE,HIGH_CH,OBES,DEATH
7.5,19.8,20.4,36.1,31.8,317.8
14.3,24.6,23.3,41.7,38,451.9
13.4,27.8,20.9,38.6,33.8,340
7.7,24.3,20.2,37.9,35.2,447.6
13.2,26.3,18.7,39.6,32.7,301.8
9.4,20.9,20.7,37.3,34.2,421.4
8.1,23.6,23.8,37.9,38.7,369.1
12.8,26.3,21,36.2,36.9,385.6
12.8,24.7,20.4,39.3,35.9,369.2
14.9,27.1,24.7,42,36.4,448
11.2,20.3,17.4,34.4,34.2,299.2
8.4,20,17.8,35.3,33.8,342.9
11.3,25.6,22.6,37.4,35.3,428.8
9.5,24.5,23,42.6,44.5,454.9
8.9,22.2,22.9,35.9,45.7,422.9
8.2,21.7,23.1,37.4,34.8,421.6
9.9,23.3,20.7,41.4,38.4,429.4
9.4,20,17.5,31.2,31.4,308.7
11.9,26.4,23,35.6,36.3,338
10.9,24.9,22.2,42,33.6,441.4
9.1,19.5,21.2,30,36.6,387.2
10,24,21.4,39,34.5,416.5
9.8,19,18.2,33.1,30.6,320.9
8.3,18.7,17.8,31.7,29.9,337.2
6.5,31.1,26.2,43.7,27.2,342.1
6.9,20.3,21,38.1,32.9,398.7
10.8,25.2,20.3,37.2,38.6,451.3
6.9,19.3,16.7,35.7,28.8,364.3
9.9,23.2,21.5,36.2,31.6,372.7
10.5,18.1,20.1,39.6,30.4,315.3
11.2,24.5,20.3,39.1,33.5,335.7
6.7,24.1,21.7,35.1,37.4,388
8.1,20.8,18.2,36,36.4,299.6
14.4,24.4,23.6,40.1,38.3,380.9
9.2,24.4,20.1,36.4,38.1,393.8
12.1,25.5,24.7,37,41.9,345.2
12.4,23.7,23.8,37.8,36.5,329.1
10.7,24.8,22.5,37.4,32.4,339.8
7.8,18.2,15.1,35.4,24.6,357.1
12,22.4,22.5,40,38.2,334.6
9.9,31.2,23.5,41.9,42.5,431.5
11.5,21.2,24.7,39.8,37.9,349.3
8.1,18.1,16.4,32.7,26.2,281.4
10,33.7,21.9,45.3,40.7,423.6
10.4,23.8,20.4,35.6,39.6,357.5
8.7,25.2,22.2,38.4,33.6,435.3
16.8,25.7,23.2,37.4,34.5,366.2
10.8,26.7,22.9,39.3,33.9,431.4
8.7,26.8,20.5,37.4,38.9,397.9
8.8,27.4,22.5,38.8,32.9,410
13.9,29.6,21.5,37.7,36,376.4
7.4,15.1,13.9,30.9,25.5,317
10.8,26,23.5,36.2,34.4,489.3
10.9,27.9,23.3,38.6,32.4,315.8
6.3,18.8,20.2,44.3,32.6,448.1
9.8,22.4,21.7,39.9,34.6,435
6.8,25.6,19.8,41.7,31.7,309.9
10,13.9,17.8,39.9,37,293
10.3,24.7,20.8,41,29.9,371.3
9.7,20.3,21.5,42,32.5,373.1
5.6,17.1,18.3,37.5,26,343.4
5.5,16.9,18.3,34.6,28,310.8
14.8,27.3,25.1,39.7,34.5,403.4
7.2,14.1,14.7,40,27.6,296.8
14.9,19.2,22.2,43.9,33.6,418.1
8.6,23.8,23.1,43.1,31.2,425.4
8.1,22.2,20.4,38.5,32.8,354.9
9,25.1,20.4,43.1,30,412.8
